"","tphi","tmod","Phi","M","G","S"
"1",0,0,0,1,1,0
"2",0.1,0.1,0.0251274514954578,0.999684322200815,0.999368744054104,0.025116876036381
"3",0.2,0.2,0.0502232126157271,0.998739079533152,0.997479748986727,0.0501388008243407
"4",0.4,0.4,0.100194332643828,0.994984745598095,0.989994643972905,0.0995251168191527
"5",0.8,0.8,0.198416437389086,0.98037995419215,0.961144854581801,0.193249639308148
"6",1.6,1.6,0.382335948654142,0.92779565149255,0.860804770928485,0.346150136899068
"7",3.2,3.2,0.677325653538882,0.779251546496436,0.607232972717088,0.488365733403006
"8",6.4,6.4,1.01457428926192,0.527981516719977,0.278764481997927,0.448391397747944
"9",12.8,12.8,1.26941582415649,0.296838769186922,0.0881132548924066,0.283459537155962
"10",25.6,25.6,1.41660526943526,0.153580804209641,0.02358706342168,0.151758735698548
"11",51.2,51.2,1.49323982833724,0.0774787713130001,0.00600296000417217,0.077245870280297
